DeviceName,Dew_Point,Indoor_Humidity,Indoor_Temperature,Outdoor_Humidity,Outdoor_Temperature,Discharge_Pressure,Discharge_Temperature,kW,Power_Factor,Volts_Line_to_Line,Volts_Line_to_Neutral
store0025-RackA,52.66,51.18,70.65,,95.14,283.8,,33.1,0.73,607.5,350.1
store0025-RackA,52.5,51.41,70.57,,94.75,278.0,,32.5,0.72,607.7,350.1
store0025-RackA,52.86,51.48,70.57,,94.75,285.0,,31.8,0.71,608.0,350.3
store0025-RackA,52.86,51.48,70.57,,94.96,285.0,,31.6,0.71,607.2,349.9
store0025-RackA,52.16,50.71,70.57,,94.96,279.6,,31.1,0.71,608.2,350.5
store0025-RackA,52.52,50.71,70.48,,94.93,280.4,,31.0,0.71,607.8,350.2
store0025-RackA,52.11,51.08,70.45,,94.68,252.6,,39.0,0.77,607.9,350.2
store0025-RackA,52.47,51.88,70.45,,94.41,256.6,,30.9,0.71,607.8,350.1
store0025-RackA,52.32,51.88,70.39,,94.32,258.2,,30.8,0.7,607.9,350.3
store0025-RackA,52.43,51.58,70.39,,94.46,257.4,,33.1,0.74,607.1,349.9
store0025-RackA,52.43,51.58,70.39,,94.46,257.4,,40.4,0.79,606.2,349.3
store0025-RackA,52.43,50.78,70.3,,94.53,267.9,,40.5,0.79,606.3,349.3
store0025-RackA,52.12,50.98,70.34,,94.71,268.0,,39.8,0.78,606.4,349.5
store0025-RackA,51.98,50.81,70.34,,94.89,268.0,,40.3,0.79,606.5,349.5
store0025-RackA,51.93,50.48,70.34,,94.89,262.7,,39.8,0.78,606.6,349.6
store0025-RackA,51.94,51.21,70.25,,94.89,263.0,,39.9,0.78,607.3,349.9
store0025-RackA,51.39,49.71,70.25,,94.89,262.4,,39.0,0.78,606.9,349.6
store0025-RackA,51.39,49.71,70.25,,94.89,262.4,,40.4,0.78,607.1,349.9
store0025-RackA,51.39,51.28,70.29,,94.89,267.6,,39.8,0.78,608.2,350.5
store0025-RackA,52.2,51.28,70.29,,94.89,267.7,,39.6,0.78,608.0,350.2
store0025-RackA,52.14,51.28,70.29,,94.84,262.2,,40.1,0.78,608.1,350.4
